,img_coding,num_layer,num_cell,start_cell_dim,parameter_num,acc,f-1_score,roc_auc_score,time
87,"['trrp', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,22,483324,79.13669064748201,0,0.6236263736263735,167
88,"['trrp', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,21,483324,78.41726618705036,0,0.6567307692307692,161
89,"['trrp', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,19,400747,78.41726618705036,0,0.6567307692307692,157
90,"['trrp', 'regas', 'regad', 'trgad', 'remk', 'trmk', 'ctwav']",3,3,20,401727,75.53956834532374,0,0.6185439560439562,167
91,"['trrp', 'gas', 'regas', 'regad', 'trgad', 'mk', 'remk']",2,3,23,140384,81.29496402877697,0,0.7138736263736264,126
92,"['rp', 'trrp', 'regas', 'regad', 'trgad']",3,3,23,572744,77.6978417266187,0,0.6708791208791208,156
93,"['rp', 'rerp', 'trrp', 'regas', 'mk', 'trmk', 'ctwav']",4,2,22,1402930,73.38129496402878,0,0.5567307692307691,61
94,"['trrp', 'regas', 'regad', 'trgad']",3,3,23,571568,74.82014388489209,0,0.6042582417582418,164
95,"['rerp', 'trrp', 'gas', 'regas', 'regad', 'trgad']",4,2,16,745226,75.53956834532374,0,0.628021978021978,149
96,"['trrp', 'regas', 'gad', 'regad', 'trgad']",3,3,23,572744,79.13669064748201,0,0.6425824175824176,156
97,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad']",3,3,23,573920,71.94244604316546,0,0.6229395604395604,162
98,"['regas', 'gad', 'regad', 'trgad']",3,3,23,571568,76.2589928057554,0,0.6423076923076922,162
99,"['rp', 'gas', 'gad', 'regad', 'trgad', 'remk']",3,3,12,147425,76.97841726618705,0,0.6376373626373627,159
100,"['trrp', 'regas', 'regad', 'trgad', 'remk']",3,3,22,482246,74.82014388489209,0,0.6042582417582418,166
101,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",2,2,15,47674,77.6978417266187,0,0.632967032967033,95
102,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'mk', 'remk']",4,3,20,1608707,74.82014388489209,0,0.5853021978021977,86
103,"['rp', 'rerp', 'trrp', 'regas', 'regad', 'remk']",4,1,19,713597,72.66187050359713,0,0.5708791208791207,106
104,"['rp', 'trrp', 'gas', 'regas', 'regad', 'trgad', 'mk', 'remk']",3,2,21,351044,75.53956834532374,0,0.628021978021978,131
105,"['rp', 'trrp', 'gas', 'regas', 'regad', 'trgad', 'remk']",3,2,22,349966,76.2589928057554,0,0.6423076923076922,136
106,"['rp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,1,19,715557,76.2589928057554,0,0.6233516483516485,112
107,"['trrp', 'regas', 'trgas', 'regad', 'trgad', 'mk']",2,1,23,62132,75.53956834532374,0,0.599587912087912,62
108,"['trrp', 'gas', 'regas', 'regad', 'trgad', 'remk']",3,3,21,483324,74.10071942446044,0,0.6184065934065934,172
109,"['rerp', 'trrp', 'gas', 'regas', 'gad', 'regad', 'trgad', 'mk', 'ctwav']",3,1,15,117742,79.85611510791367,0,0.6663461538461538,92
110,"['trrp', 'gas', 'regad', 'trgad', 'mk', 'remk']",2,3,24,139208,75.53956834532374,0,0.656456043956044,126
111,"['trrp', 'gas', 'regas', 'regad', 'trgad', 'mk', 'remk']",2,3,24,140384,75.53956834532374,0,0.628021978021978,130
112,"['rerp', 'trrp', 'gas', 'trgas', 'mk', 'ctwav']",2,3,13,49900,75.53956834532374,0,0.646978021978022,130
113,"['rp', 'rerp', 'regas', 'trgas', 'gad', 'regad', 'remk', 'ctwav']",2,1,19,46297,76.2589928057554,0,0.5570054945054944,63
114,"['rp', 'gas', 'regas', 'regad', 'trgad', 'mk', 'remk']",2,2,13,37234,76.97841726618705,0,0.6376373626373627,94
115,"['rp', 'trrp', 'regas', 'trgas', 'trgad', 'mk', 'remk']",3,3,21,484402,76.97841726618705,0,0.6376373626373627,164
116,"['rp', 'trgas', 'regad', 'trgad', 'trmk', 'ctwav']",3,3,15,258582,74.82014388489209,0,0.6421703296703297,160
117,"['trrp', 'trgas', 'trgad', 'mk', 'remk', 'ctwav']",2,3,18,80213,75.53956834532374,0,0.5521978021978021,123
118,"['trrp', 'regad', 'trgad', 'remk']",3,3,21,481168,77.6978417266187,0,0.632967032967033,163
119,"['rp', 'rerp', 'trrp', 'regas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,2,20,1163112,76.2589928057554,0,0.6233516483516485,71
120,"['rerp', 'trrp', 'gas', 'regas', 'mk', 'remk', 'trmk']",3,1,13,89780,72.66187050359713,0,0.6087912087912088,90
121,"['rp', 'trrp', 'regas', 'trgas', 'gad', 'regad', 'trmk', 'ctwav']",2,1,22,54974,76.2589928057554,0,0.6043956043956044,63
122,"['regas', 'gad', 'regad', 'trgad', 'remk', 'trmk']",4,3,21,1941660,74.82014388489209,0,0.6137362637362638,95
123,"['rerp', 'regas', 'trgas', 'trgad', 'remk', 'ctwav']",4,1,12,259871,74.82014388489209,0,0.6137362637362638,106
124,"['rp', 'regas', 'trgas', 'ctwav']",3,1,20,176117,74.82014388489209,0,0.6232142857142857,87
125,"['trrp', 'regas', 'regad', 'trgad', 'remk']",4,3,21,1940582,75.53956834532374,0,0.5711538461538461,90
126,"['rerp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'remk']",3,3,21,484402,76.2589928057554,0,0.6328296703296704,170
127,"['rerp', 'trrp', 'trgas', 'gad', 'trgad', 'ctwav']",2,2,14,36548,74.10071942446044,0,0.6657967032967032,95
128,"['trrp', 'regas', 'regad', 'trgad', 'remk']",3,2,21,347810,77.6978417266187,0,0.6519230769230769,127
129,"['trrp', 'gas', 'regas', 'regad', 'trgad', 'mk']",2,3,23,139208,79.85611510791367,0,0.6947802197802199,127
130,"['rp', 'rerp', 'gas', 'regas', 'gad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",3,2,19,293332,77.6978417266187,0,0.6140109890109889,135
131,"['trrp', 'gas', 'regas', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",3,1,23,257828,76.97841726618705,0,0.6092032967032966,92
132,"['trrp', 'regas', 'gad', 'regad', 'trgad', 'remk']",3,3,21,483324,78.41726618705036,0,0.6662087912087913,174
133,"['rerp', 'trrp', 'gas', 'regas', 'mk', 'trmk', 'ctwav']",3,1,14,89780,77.6978417266187,0,0.632967032967033,85
134,"['rp', 'trgas', 'trgad', 'trmk', 'ctwav']",2,3,13,49214,78.41726618705036,0,0.6093406593406593,127
135,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'trgad', 'remk']",2,1,13,24568,73.38129496402878,0,0.5851648351648351,63
