,img_coding,num_layer,num_cell,start_cell_dim,parameter_num,acc,f-1_score,roc_auc_score,time
239,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'gad', 'mk']",3,2,95,6510924,81.66666666666667,0.8124801195046742,0,87
240,"['rp', 'rerp', 'gas', 'gad', 'mk', 'ctwav']",3,2,95,6506220,80.66666666666667,0.801270555550102,0,90
241,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'gad', 'mk']",3,2,93,6244056,81.83333333333333,0.8157974920476939,0,89
242,"['rp', 'rerp', 'gas', 'regas', 'gad', 'trgad', 'mk', 'remk', 'trmk']",3,2,96,6520332,81.0,0.8044930833874498,0,91
243,"['rp', 'rerp', 'gas', 'regas', 'trgad', 'mk', 'remk', 'ctwav']",3,2,94,6248662,81.5,0.8107922062121484,0,89
244,"['rp', 'rerp', 'regas', 'gad', 'trgad', 'mk', 'remk']",3,3,92,8304003,81.66666666666667,0.8113447139629107,0,109
245,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'mk', 'remk']",3,1,96,3984708,81.33333333333333,0.8092302858433899,0,67
246,"['rp', 'rerp', 'gas', 'regas', 'gad', 'trgad', 'mk', 'remk', 'ctwav']",3,2,93,6253268,81.33333333333333,0.8110850948057841,0,93
247,"['rerp', 'trrp', 'gas', 'mk', 'remk']",3,2,38,1039416,76.66666666666667,0.7608794661380923,0,95
248,"['rp', 'rerp', 'gas', 'gad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",3,2,74,3892718,80.5,0.8004257021787982,0,93
249,"['trgas', 'gad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",4,3,66,17394243,78.33333333333333,0.7743300493907911,0,147
250,"['rp', 'rerp', 'regas', 'gad', 'trgad', 'mk']",3,3,95,9032436,80.66666666666667,0.8020059814061922,0,121
251,"['rp', 'rerp', 'regas', 'gad', 'trgad']",3,3,95,9027732,81.5,0.811618897136127,0,122
252,"['rp', 'rerp', 'regas', 'trgad']",3,1,95,3970596,81.66666666666667,0.8132774237124756,0,78
253,"['rp', 'rerp', 'gas', 'remk', 'trmk', 'ctwav']",2,2,24,104904,52.833333333333336,0.4828565659023363,0,125
254,"['rp', 'rerp', 'gas', 'regas', 'trgad']",3,2,94,6234844,82.0,0.8160515927240923,0,95
255,"['rp', 'regas', 'remk']",3,1,88,3337614,77.33333333333333,0.765658107600361,0,65
256,"['rerp', 'regas', 'remk']",4,1,38,2582340,68.0,0.6711212126902327,0,86
257,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'mk', 'remk']",3,2,96,6520332,81.33333333333333,0.8095700383220574,0,102
258,"['trrp', 'gas', 'regas', 'gad', 'regad']",2,2,15,48948,43.166666666666664,0.3826361641603935,0,128
259,"['rerp', 'trgas', 'gad', 'trgad', 'remk', 'trmk', 'ctwav']",4,2,40,4643560,79.0,0.7839948091087208,0,104
260,"['rerp', 'gas', 'trgas', 'gad', 'trgad', 'remk', 'trmk']",3,2,15,194324,75.5,0.7487057699206253,0,159
261,"['rp', 'trgas', 'mk', 'trmk']",2,1,33,122213,63.666666666666664,0.6148550027270623,0,90
262,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgad', 'ctwav']",3,2,95,6510924,81.16666666666667,0.8055061118592549,0,101
263,"['gas', 'regas', 'remk']",3,3,91,8285971,75.66666666666667,0.7516544204886513,0,122
264,"['rp', 'gas', 'trgas', 'trgad']",3,2,35,932982,76.16666666666667,0.7545563600536006,0,165
265,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'mk']",3,2,94,6239450,80.83333333333333,0.8055126956482791,0,93
266,"['rp', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",3,3,69,4822166,76.5,0.7528552294723717,0,114
267,"['rp', 'rerp', 'regas', 'trgas', 'mk']",3,2,94,6234844,80.0,0.7937975658585095,0,92
268,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'gad', 'mk']",3,3,96,9037140,81.5,0.8108129378672857,0,109
269,"['trgad', 'mk', 'trmk', 'ctwav']",2,2,52,452174,67.16666666666667,0.6634875281864222,0,116
270,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'mk']",3,2,92,5979002,79.83333333333333,0.7952290336468893,0,93
271,"['trrp', 'regas', 'gad', 'trgad', 'remk', 'trmk']",3,1,96,3980004,79.83333333333333,0.7922271593564499,0,67
272,"['trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",2,1,17,40591,50.5,0.4687638580587175,0,87
273,"['rp', 'rerp', 'trrp', 'trgas', 'gad', 'mk', 'remk', 'trmk', 'ctwav']",2,2,96,1525644,74.0,0.7329629595824575,0,78
274,"['rerp', 'trrp', 'gas', 'gad', 'regad', 'mk', 'remk', 'ctwav']",2,2,22,91282,56.666666666666664,0.526750159497745,0,118
275,"['rp', 'rerp', 'trrp', 'trgad', 'remk', 'ctwav']",2,2,91,1390410,76.16666666666667,0.751050012883887,0,71
276,"['gas', 'gad', 'trgad', 'trmk']",4,2,27,2286106,78.5,0.7771588391143514,0,103
277,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'mk', 'remk']",3,2,94,6253268,80.0,0.7945457568244844,0,92
278,"['rp', 'rerp', 'gas', 'regas', 'gad', 'mk']",3,3,93,8661524,80.16666666666667,0.7972686947094674,0,111
279,"['rp', 'rerp', 'gas', 'regas', 'trgad', 'mk', 'remk']",3,2,93,6244056,81.5,0.8079270586355657,0,94
280,"['rp', 'rerp', 'gas', 'regas', 'regad', 'trgad']",3,2,94,6239450,80.16666666666667,0.795664848686857,0,100
281,"['regas', 'trgas', 'trmk', 'ctwav']",3,3,29,900936,73.5,0.7299422441545764,0,186
282,"['rp', 'rerp', 'gas', 'regas', 'trgad', 'remk']",3,3,94,8661524,81.5,0.8096900476830817,0,112
283,"['rp', 'rerp', 'gas', 'regas', 'trgad', 'remk']",3,2,94,6239450,82.33333333333333,0.8186310056846131,0,89
284,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgad', 'remk']",3,2,94,6244056,82.5,0.823472179819602,0,111
285,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgad', 'mk', 'remk']",3,1,94,3826588,81.66666666666667,0.8120266301976492,0,73
286,"['rp', 'rerp', 'trrp', 'gas', 'gad', 'regad', 'remk', 'trmk']",3,2,74,3889092,77.83333333333333,0.7746115560964464,0,85
287,"['rp', 'rerp', 'trrp', 'regas', 'gad', 'mk']",3,3,96,9032436,80.66666666666667,0.8014882254051949,0,120
288,"['rp', 'rerp', 'trrp', 'regas', 'gad', 'mk']",3,2,96,6506220,80.33333333333333,0.7990446187836484,0,86
289,"['rp', 'gas', 'trgas', 'gad', 'trgad', 'trmk']",3,2,31,743372,77.0,0.7632952111532113,0,171
290,"['rp', 'regas', 'gad', 'trgad', 'mk', 'trmk', 'ctwav']",3,1,92,3663017,77.33333333333333,0.7654481077917611,0,67
291,"['rp', 'trrp', 'gas', 'regas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,3,38,351074,73.33333333333333,0.7262546314591286,0,150
292,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgad', 'remk', 'trmk']",3,2,92,5988018,82.33333333333333,0.8197696697863971,0,100
293,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'gad', 'trgad', 'remk', 'trmk']",3,2,92,5992526,82.0,0.8164412795853434,0,88
294,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'gad', 'trgad', 'remk']",3,2,92,5988018,82.16666666666667,0.8183631279268982,0,97
295,"['gad', 'regad', 'trgad', 'trmk']",4,3,63,16350860,75.66666666666667,0.7460644004445325,0,147
