,img_coding,num_layer,num_cell,start_cell_dim,parameter_num,acc,f-1_score,roc_auc_score,time
158,"['rp', 'gas', 'trgas', 'regad', 'trgad', 'mk']",3,1,82,2880477,81.629392971246,0,0.8137775210218885,1
159,"['rerp', 'trrp', 'regas', 'gad', 'remk', 'trmk', 'ctwav']",4,3,40,6385852,85.22364217252397,0,0.8445946466397072,5
160,"['rp', 'gas', 'gad']",4,3,24,2305016,86.5814696485623,0,0.862597085820656,5
161,"['rp', 'rerp', 'regas', 'trgas', 'gad', 'trgad', 'remk', 'trmk']",2,3,70,1130518,81.54952076677316,0,0.8076269336927916,2
162,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'remk']",3,2,37,1027654,82.90734824281151,0,0.8236164067013286,2
163,"['rp', 'rerp', 'trrp', 'trgas', 'trgad', 'mk', 'remk']",3,3,61,3768252,83.86581469648563,0,0.8352731240772835,3
164,"['rerp', 'trgas', 'regad', 'mk', 'trmk']",4,2,81,19282424,82.58785942492013,0,0.8162500802362154,3
165,"['rp', 'gas', 'regas', 'trgas', 'regad', 'mk', 'remk']",4,1,71,9135704,83.38658146964856,0,0.8283124719173246,2
166,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'remk']",3,2,45,1497876,82.50798722044729,0,0.8197868926118492,2
167,"['gas', 'regas', 'gad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,2,86,1211268,82.66773162939297,0,0.826678220681687,2
168,"['rerp', 'trgad', 'trmk', 'ctwav']",3,1,86,3158072,79.87220447284345,0,0.7945875858527505,1
169,"['rp', 'trrp', 'trgad', 'mk', 'remk', 'trmk']",2,2,85,1202840,84.34504792332268,0,0.8384594646639708,1
170,"['rp', 'rerp', 'regas', 'trgas', 'gad', 'trgad', 'ctwav']",4,2,45,6088630,86.26198083067092,0,0.8568662943706272,3
171,"['gas', 'trgad', 'mk']",3,1,55,1343148,80.75079872204473,0,0.8117940817767507,1
172,"['rp', 'regas', 'trgad', 'remk', 'ctwav']",4,2,72,14873438,86.90095846645367,0,0.8634212722254316,3
173,"['rp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'remk', 'ctwav']",4,2,23,1668926,87.8594249201278,0,0.8747005584440594,3
174,"['regas', 'regad', 'trmk', 'ctwav']",3,1,21,212296,82.18849840255591,0,0.813804480390269,1
175,"['trrp', 'regas', 'trgas', 'regad', 'mk', 'remk']",4,2,95,26420786,84.58466453674122,0,0.8459657230887734,3
176,"['rp', 'trrp', 'gas', 'trmk', 'ctwav']",3,1,95,3936266,85.22364217252397,0,0.8482431478272032,1
177,"['rp', 'rerp', 'gas', 'regas', 'mk', 'ctwav']",2,3,40,374732,76.19808306709265,0,0.7650426856666023,2
178,"['rp', 'trrp', 'trgas', 'gad', 'regad', 'trgad', 'remk', 'ctwav']",4,3,68,18404831,88.17891373801918,0,0.8779151421785738,5
179,"['rp', 'trrp', 'regas', 'trgas', 'regad', 'trgad', 'remk', 'trmk', 'ctwav']",4,3,56,12496528,87.8594249201278,0,0.873945696129405,5
180,"['rp', 'trrp', 'trgas', 'gad', 'regad', 'trgad', 'remk', 'trmk']",4,3,66,17339999,88.17891373801918,0,0.8787958148790039,5
181,"['rp', 'trrp', 'trgas', 'gad', 'regad', 'trgad', 'remk', 'trmk']",4,3,67,18404831,88.25878594249201,0,0.8786558829193145,5
182,"['rp', 'trrp', 'trgas', 'gad', 'regad', 'trgad', 'remk', 'trmk']",4,2,68,13279756,87.30031948881789,0,0.868634700558444,3
183,"['rp', 'trrp', 'trgas', 'gad', 'regad', 'trgad', 'remk', 'trmk']",4,2,65,12511654,87.46006389776358,0,0.8701161820399256,3
184,"['rp', 'trrp', 'trgas', 'gad', 'regad', 'trgad', 'remk', 'trmk']",4,2,69,14070176,86.90095846645367,0,0.8669439630271519,3
185,"['rp', 'rerp', 'trrp', 'regas', 'mk', 'trmk', 'ctwav']",4,2,81,19290460,87.30031948881789,0,0.8669991655433597,3
186,"['rp', 'trrp', 'gad', 'regad', 'trgad', 'mk', 'ctwav']",4,3,67,18401499,87.30031948881789,0,0.8695153732588742,5
187,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'remk', 'trmk', 'ctwav']",4,3,74,21791539,87.06070287539936,0,0.8669157198793247,5
188,"['rp', 'trrp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",4,3,67,18401499,87.22044728434504,0,0.8687746325181335,5
189,"['rp', 'trrp', 'gad', 'regad', 'remk', 'ctwav']",4,3,67,18398167,87.93929712460064,0,0.8755671095705758,5
190,"['rp', 'trrp', 'trgas', 'gad', 'regad', 'remk', 'ctwav']",4,3,67,18401499,86.26198083067092,0,0.8557340008986456,5
191,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",2,2,36,221024,72.60383386581469,0,0.7135926567815649,1
192,"['trrp', 'gas', 'regas', 'trgas', 'regad', 'mk', 'remk', 'ctwav']",3,2,15,188554,85.54313099041534,0,0.8542255600487837,2
193,"['rp', 'trrp', 'trgas', 'gad', 'trgad', 'remk', 'trmk']",4,3,67,18401499,87.38019169329074,0,0.866607612812119,5
194,"['rp', 'trrp', 'trgas', 'gad', 'trgad', 'mk', 'remk', 'trmk']",4,3,67,18404831,89.45686900958466,0,0.8915283394312857,5
195,"['rerp', 'gas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",3,2,37,1027654,80.11182108626198,0,0.7927838757301495,2
196,"['rp', 'trrp', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk']",4,3,67,18408163,87.53993610223642,0,0.8717375954810964,5
197,"['rerp', 'gas', 'regas', 'trgas', 'regad', 'trgad', 'remk', 'trmk']",3,3,96,9002810,82.58785942492013,0,0.8170049425508698,3
198,"['rp', 'rerp', 'trrp', 'trgas', 'gad', 'trgad', 'trmk']",4,3,58,13396507,86.10223642172524,0,0.8537492778740613,5
199,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'ctwav']",3,2,14,144068,82.42811501597444,0,0.8190461518711084,2
200,"['rerp', 'trgas', 'regad', 'trgad', 'remk', 'trmk', 'ctwav']",3,2,15,187770,78.83386581469648,0,0.7829449900507093,2
201,"['rp', 'trrp', 'trgas', 'trgad', 'mk', 'trmk']",4,3,66,17333531,89.61661341853035,0,0.8933872520700943,5
202,"['rp', 'trrp', 'trgas', 'gad', 'trgad', 'mk', 'trmk']",4,3,66,17336765,88.17891373801918,0,0.8767828487065923,5
203,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'mk', 'remk', 'trmk']",2,1,88,760212,78.27476038338658,0,0.7765017010077668,1
204,"['rp', 'trrp', 'trgas', 'trgad', 'mk', 'remk', 'trmk']",4,3,66,17336765,88.9776357827476,0,0.886329032672187,5
205,"['rerp', 'regas', 'trgas', 'gad', 'regad']",2,3,73,1250249,81.30990415335464,0,0.8064111945567753,2
206,"['rp', 'trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk']",4,1,17,581739,85.70287539936102,0,0.8531908338147506,2
