,img_coding,num_layer,num_cell,start_cell_dim,parameter_num,acc,time
133,"['trrp', 'gas', 'regas', 'gad', 'trgad', 'mk']",3,3,21,489059,14.873417721518987,91
134,"['regas', 'trgad', 'remk']",4,1,42,3135412,12.869198312236287,22
135,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'mk', 'trmk', 'ctwav']",2,2,86,1229279,16.666666666666668,47
136,"['rp', 'rerp', 'trrp', 'trgas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",4,1,22,877525,14.978902953586498,55
137,"['gas', 'regas', 'gad', 'regad']",2,2,66,715445,13.765822784810126,43
138,"['trrp', 'regas', 'regad', 'mk', 'remk']",4,1,87,13674337,13.660337552742616,23
139,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'trgad', 'trmk', 'ctwav']",2,3,43,460686,15.50632911392405,61
140,"['trrp', 'gas', 'remk', 'trmk', 'ctwav']",2,3,37,341211,17.246835443037973,60
141,"['rp', 'rerp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk']",3,1,81,2909788,15.189873417721518,17
142,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'trgad', 'remk']",3,3,59,3552234,15.981012658227849,43
143,"['gad', 'mk', 'trmk', 'ctwav']",4,2,15,752575,12.130801687763713,85
144,"['rerp', 'trrp', 'gas', 'regas', 'regad', 'trgad', 'trmk', 'ctwav']",2,2,68,772213,16.824894514767934,44
145,"['rp', 'trgas', 'gad', 'mk', 'remk']",3,3,26,677474,15.084388185654008,91
146,"['rp', 'trrp', 'gas', 'trgas']",3,1,48,1003659,16.61392405063291,38
147,"['rerp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",4,2,89,23289023,15.031645569620252,43
148,"['rp', 'trrp', 'regas', 'trgas', 'regad', 'mk', 'trmk', 'ctwav']",4,3,76,23021826,15.981012658227849,55
149,"['rerp', 'gas', 'gad', 'trgad', 'remk']",3,2,35,929433,15.137130801687764,64
150,"['rerp', 'trrp', 'trgad', 'mk']",3,3,14,201333,18.248945147679326,88
151,"['rp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'remk', 'trmk', 'ctwav']",2,1,55,326113,18.934599156118143,28
152,"['rp', 'regas', 'trgas', 'trgad', 'trmk', 'ctwav']",4,3,53,11643963,16.244725738396625,55
153,"['rerp', 'trrp', 'gas', 'gad', 'regad', 'mk', 'remk']",2,1,94,870173,17.985232067510548,26
154,"['rerp', 'regad']",4,3,73,21807264,13.660337552742616,54
155,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,2,32,186103,18.776371308016877,46
156,"['rerp', 'gas', 'regas', 'mk', 'trmk', 'ctwav']",2,1,19,46594,19.462025316455698,24
157,"['rp', 'trrp', 'trgas', 'gad', 'regad', 'trgad', 'remk']",3,2,60,2557149,16.139240506329113,29
158,"['rp', 'gas', 'trgas', 'regad', 'trgad', 'mk']",3,1,82,2901752,15.559071729957806,17
159,"['rerp', 'trrp', 'regas', 'gad', 'remk', 'trmk', 'ctwav']",4,3,40,6408089,16.139240506329113,55
160,"['rp', 'gas', 'gad']",4,3,24,2318373,14.609704641350211,54
161,"['rp', 'rerp', 'regas', 'trgas', 'gad', 'trgad', 'remk', 'trmk']",2,3,70,1138325,17.035864978902953,62
162,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'remk']",3,2,37,1037533,16.666666666666668,65
163,"['rp', 'rerp', 'trrp', 'trgas', 'trgad', 'mk', 'remk']",3,3,61,3784347,16.9831223628692,41
164,"['rerp', 'trgas', 'regad', 'mk', 'trmk']",4,2,81,19327971,14.451476793248945,39
165,"['rp', 'gas', 'regas', 'trgas', 'regad', 'mk', 'remk']",4,1,71,9175701,14.135021097046414,24
166,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'remk']",3,2,45,1509827,16.19198312236287,29
167,"['gas', 'regas', 'gad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,2,86,1220851,14.345991561181435,44
168,"['rerp', 'trgad', 'trmk', 'ctwav']",3,1,86,3180383,16.61392405063291,17
169,"['rp', 'trrp', 'trgad', 'mk', 'remk', 'trmk']",2,2,85,1212423,16.9831223628692,43
170,"['rp', 'rerp', 'regas', 'trgas', 'gad', 'trgad', 'ctwav']",4,2,45,6114197,14.240506329113924,39
171,"['gas', 'trgad', 'mk']",3,1,55,1357689,12.763713080168776,36
172,"['rp', 'regas', 'trgad', 'remk', 'ctwav']",4,2,72,14913435,14.820675105485233,39
173,"['rp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'remk', 'ctwav']",4,2,23,1682283,15.664556962025317,39
174,"['regas', 'regad', 'trmk', 'ctwav']",3,1,21,218031,14.39873417721519,37
175,"['trrp', 'regas', 'trgas', 'regad', 'mk', 'remk']",4,2,95,26474103,12.289029535864978,39
176,"['rp', 'trrp', 'gas', 'trmk', 'ctwav']",3,1,95,3961167,18.143459915611814,17
177,"['rp', 'rerp', 'gas', 'regas', 'mk', 'ctwav']",2,3,40,379209,16.455696202531644,60
178,"['rerp', 'trgad', 'mk', 'remk', 'ctwav']",2,3,94,2017865,18.09071729957806,27
179,"['rerp', 'regad', 'trgad', 'remk', 'trmk']",2,1,95,897327,17.563291139240505,25
180,"['rerp', 'trgad', 'remk']",2,1,94,851749,17.668776371308017,24
181,"['rerp', 'trgad', 'remk', 'ctwav']",2,1,94,856355,17.29957805907173,25
182,"['rerp', 'regad', 'trgad', 'mk', 'remk', 'trmk']",2,1,94,865567,17.40506329113924,26
183,"['rerp', 'regad', 'trgad', 'mk', 'remk']",2,1,94,860961,18.143459915611814,25
184,"['rerp', 'trgas', 'trgad', 'remk', 'trmk', 'ctwav']",2,1,94,865567,17.563291139240505,26
185,"['rp', 'rerp', 'trrp', 'regas', 'mk', 'trmk', 'ctwav']",4,2,81,19336007,15.50632911392405,40
